                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7574,                 2.7626,                 1.7221,                  1.475,                 5.5888,                 1.4779,                0.32996,                0.53602,                0.37854,                0.16439,                 1.5601,                 2.7771,                 1.5409,                 1.3705,                  6.644,                 1.3996,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.5576,                 1.9454,                 1.5159,                 1.4546,                 3.8423,                 1.3914,                0.43217,                0.40254,                0.37903,                0.17996,                 1.8175,                 3.0465,                 1.9773,                 1.5982,                 4.7948,                 1.7238,               0.001282,               0.001282,               0.001282
                      3,                  1.581,                 1.7602,                 1.5436,                  1.511,                 2.9021,                 1.4453,                0.50654,                0.47034,                0.45695,                 0.2424,                  1.675,                 2.1218,                 1.6861,                 1.5976,                  2.995,                 1.5993,              0.0018665,              0.0018665,              0.0018665
                      4,                 1.5525,                 1.5612,                 1.5195,                  1.554,                 2.1896,                 1.4507,                 0.5764,                0.55085,                0.55645,                0.29025,                 1.5022,                 1.6432,                 1.5143,                 1.5231,                 2.2651,                 1.4973,              0.0018144,              0.0018144,              0.0018144
                      5,                   1.52,                 1.4312,                 1.4853,                 1.5308,                 1.9018,                  1.431,                0.46587,                 0.3411,                 0.3424,                0.16627,                 2.0133,                 44.436,                 1.9837,                 1.9375,                 2.6394,                 1.9051,              0.0018144,              0.0018144,              0.0018144
                      6,                 1.4684,                  1.327,                 1.4412,                 1.4983,                 1.6627,                 1.4104,                 0.4803,                0.48305,                0.42425,                0.17622,                 1.8754,                  2.424,                 2.0122,                 1.8711,                 2.2102,                 1.8024,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.4508,                 1.2985,                 1.4251,                 1.4751,                 1.6302,                 1.3815,                0.64748,                0.59534,                0.63528,                0.32108,                 1.5665,                 1.4334,                  1.467,                 1.5647,                  1.695,                 1.4178,              0.0016906,              0.0016906,              0.0016906
                      8,                 1.4353,                 1.2343,                 1.4194,                 1.4708,                 1.5387,                 1.3767,                0.54456,                0.61441,                0.57522,                 0.2908,                 1.6324,                 1.4789,                 1.6228,                  1.622,                 1.7248,                 1.5286,              0.0016287,              0.0016287,              0.0016287
                      9,                 1.3594,                 1.1614,                 1.3705,                 1.4077,                 1.4054,                 1.3477,                0.65932,                0.63347,                0.66279,                0.35524,                 1.4806,                 1.2444,                 1.4715,                 1.4955,                 1.4954,                 1.4302,              0.0015669,              0.0015669,              0.0015669
                     10,                 1.3449,                 1.1069,                 1.3568,                 1.4162,                 1.3329,                 1.3468,                0.67743,                0.69915,                0.70197,                0.37539,                 1.5132,                 1.1329,                 1.4782,                 1.5496,                  1.398,                 1.4254,               0.001505,               0.001505,               0.001505
                     11,                 1.3521,                 1.0795,                 1.3587,                 1.3979,                 1.2966,                 1.3338,                0.65928,                0.64619,                0.67088,                0.37014,                 1.4661,                 1.2996,                 1.4626,                 1.5117,                 1.4761,                 1.4226,              0.0014431,              0.0014431,              0.0014431
                     12,                 1.3027,                 1.0301,                 1.3316,                 1.3626,                 1.2137,                 1.3206,                0.64237,                0.63347,                 0.6251,                0.33868,                 1.5594,                 1.2755,                 1.5067,                 1.5808,                 1.4818,                 1.4903,              0.0013813,              0.0013813,              0.0013813
                     13,                  1.265,                0.99122,                 1.3086,                 1.3137,                 1.2201,                 1.2898,                0.66022,                0.68856,                0.70728,                0.40647,                 1.4017,                 1.0806,                  1.365,                 1.4442,                 1.2762,                 1.3562,              0.0013194,              0.0013194,              0.0013194
                     14,                  1.276,                0.97987,                 1.3078,                 1.3258,                 1.1875,                 1.3008,                0.68641,                0.72807,                0.74912,                0.46401,                 1.3406,                0.98457,                 1.3505,                  1.415,                 1.1399,                 1.3583,              0.0012575,              0.0012575,              0.0012575
                     15,                 1.2126,                 0.9446,                 1.2838,                  1.276,                  1.117,                 1.2787,                0.70246,                0.63347,                  0.708,                0.40458,                 1.4378,                 1.1176,                  1.429,                 1.4447,                 1.2926,                  1.391,              0.0011956,              0.0011956,              0.0011956
                     16,                 1.2059,                0.90956,                 1.2703,                 1.2824,                 1.0684,                 1.2757,                0.72772,                0.67373,                0.73289,                0.44301,                  1.341,                 1.0236,                 1.3969,                 1.3585,                  1.155,                 1.3619,              0.0011337,              0.0011337,              0.0011337
                     17,                 1.1699,                0.87432,                 1.2454,                 1.2475,                 1.0158,                   1.25,                 0.7274,                0.70127,                0.74489,                0.44472,                 1.3746,                0.99464,                 1.4306,                 1.4358,                 1.1029,                 1.4091,              0.0010719,              0.0010719,              0.0010719
                     18,                 1.1619,                0.84464,                 1.2362,                 1.2268,                0.99986,                 1.2367,                 0.7237,                0.68255,                0.73297,                0.42815,                 1.4147,                 1.0216,                 1.4676,                 1.4504,                 1.1671,                 1.4398,                0.00101,                0.00101,                0.00101
                     19,                 1.1353,                0.82079,                 1.2313,                 1.2105,                0.99058,                 1.2256,                0.72828,                0.73253,                0.77841,                0.47411,                 1.3157,                 0.9218,                 1.3614,                 1.3437,                 1.0745,                 1.3312,             0.00094812,             0.00094812,             0.00094812
                     20,                  1.109,                0.80342,                 1.2102,                 1.1796,                0.95271,                 1.2085,                0.74383,                0.64195,                0.73395,                0.44332,                 1.3698,                 1.0194,                  1.376,                 1.3936,                 1.1575,                 1.3527,             0.00088625,             0.00088625,             0.00088625
                     21,                 1.0911,                0.76293,                 1.1901,                 1.1606,                0.91008,                 1.1921,                0.76742,                  0.741,                0.80762,                0.47934,                 1.3338,                0.90358,                 1.3818,                 1.3904,                0.99391,                 1.3667,             0.00082438,             0.00082438,             0.00082438
                     22,                 1.0654,                0.73797,                 1.1823,                 1.1376,                0.85571,                 1.1905,                0.75409,                0.77331,                0.79109,                0.46917,                 1.3313,                0.84371,                 1.3881,                 1.4212,                0.97455,                 1.3901,              0.0007625,              0.0007625,              0.0007625
                     23,                 1.0255,                 0.6577,                 1.1424,                 1.0803,                 0.7523,                 1.1478,                0.75515,                0.71398,                0.79223,                0.46491,                 1.3781,                0.91538,                 1.4375,                 1.4226,                 1.0327,                 1.4075,             0.00070063,             0.00070063,             0.00070063
                     24,                0.96033,                0.61873,                 1.1043,                 1.0077,                0.67345,                 1.1068,                0.77014,                0.72246,                0.78089,                0.46057,                 1.3518,                0.90496,                 1.4145,                 1.4148,                 1.0515,                 1.4019,             0.00063875,             0.00063875,             0.00063875
                     25,                0.94038,                0.58794,                 1.1021,                0.98533,                0.62835,                 1.0984,                0.79903,                0.74153,                0.81284,                0.47391,                 1.3645,                0.83998,                 1.4348,                 1.4191,                0.96337,                 1.3961,             0.00057688,             0.00057688,             0.00057688
                     26,                0.92831,                 0.5577,                 1.0877,                0.97009,                0.59218,                 1.0865,                0.73216,                0.69915,                 0.7383,                0.43783,                 1.4191,                 1.0016,                 1.4967,                  1.457,                 1.2161,                 1.4668,               0.000515,               0.000515,               0.000515
