                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.816,                 3.1341,                  1.844,                 1.5521,                 6.7726,                 1.6044,                0.03312,                0.57377,                0.11962,                 0.0382,                 2.6103,                 4.6201,                  2.515,                  2.133,                 11.262,                 1.9394,             0.00065823,             0.00065823,             0.00065823
                      2,                 1.8018,                 2.7427,                 1.8376,                 1.5253,                 5.8202,                 1.6163,                0.08567,                0.15574,                0.05407,                0.01574,                 2.0161,                 8.0552,                 2.5295,                 1.8305,                 10.162,                 2.4415,              0.0013118,              0.0013118,              0.0013118
                      3,                 1.9187,                 2.7554,                  1.909,                 1.6733,                 5.6633,                 1.7649,                0.26994,                 0.2541,                0.17278,                0.05943,                 2.0243,                  11.04,                 2.2969,                 1.9224,                 10.577,                 2.4704,              0.0019521,              0.0019521,              0.0019521
                      4,                 2.0923,                 2.9221,                 2.0429,                 1.7829,                 5.2534,                 1.8567,                0.37103,                0.34426,                0.25601,                0.09288,                 1.9147,                  4.033,                 2.1027,                 1.7676,                 7.2636,                 2.2616,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9095,                 2.6181,                 1.9496,                 1.7495,                 4.4027,                 1.8138,                0.31916,                0.22672,                0.20713,                0.09301,                 1.9393,                 2.6891,                 1.9689,                 1.6028,                 5.0075,                 1.7862,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.8871,                 2.4437,                 1.9494,                 1.7503,                 3.8953,                 1.7649,                0.23957,                0.28689,                0.13991,                0.05066,                 2.1591,                 2.8859,                 2.1391,                 1.8983,                 5.1324,                 1.9603,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9361,                 2.4261,                 1.9101,                 1.8413,                 3.7751,                 1.8446,                0.34232,                0.34426,                0.27125,                0.12819,                 1.8599,                  2.683,                 1.8324,                 1.5473,                 4.0253,                 1.6378,               0.001901,               0.001901,               0.001901
                      8,                 1.7772,                 2.1843,                 1.8265,                 1.6564,                 3.2782,                 1.7032,                0.35788,                0.22951,                0.24752,                 0.1112,                 1.9443,                 2.3416,                 2.0283,                 1.7391,                 3.3703,                 1.8181,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7738,                 2.1188,                  1.806,                 1.6576,                 3.1065,                  1.703,                0.28733,                0.27049,                0.22942,                0.10464,                  1.793,                 2.2488,                 1.9744,                  1.617,                 3.4968,                 1.8075,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7566,                 2.1094,                 1.8375,                 1.5911,                 2.9856,                  1.702,                0.21434,                0.41147,                0.19019,                0.08477,                 1.7969,                 2.7687,                 1.9169,                 1.6179,                 3.6909,                 1.7776,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7142,                 1.9968,                 1.8072,                 1.6424,                 2.7777,                 1.7255,                0.43605,                0.45902,                0.40292,                0.19521,                 1.6508,                 2.2339,                  1.769,                 1.5012,                 2.9802,                 1.6232,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6676,                 1.9719,                 1.7686,                 1.6061,                 2.6342,                  1.688,                0.44142,                0.35628,                 0.3668,                0.19745,                 1.6212,                 2.0511,                 1.7159,                 1.4277,                 2.8301,                 1.4892,               0.001802,               0.001802,               0.001802
                     13,                 1.5832,                 1.7687,                 1.6644,                 1.5774,                 2.3429,                 1.5946,                0.50679,                    0.5,                0.47158,                 0.2689,                 1.5651,                 1.6531,                 1.6556,                 1.3867,                 2.3312,                 1.4499,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6118,                 1.7758,                 1.6915,                 1.5777,                 2.3171,                  1.588,                0.45447,                0.49848,                0.45662,                 0.2278,                 1.5626,                 1.8654,                 1.7391,                 1.4792,                  2.436,                 1.5434,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6063,                 1.8275,                  1.692,                 1.5955,                 2.3117,                 1.6288,                0.47472,                0.54918,                0.44508,                0.21431,                 1.6122,                  1.832,                 1.7696,                 1.5685,                 2.3217,                 1.6141,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6002,                  1.828,                 1.6982,                 1.5981,                 2.2552,                 1.6098,                0.39631,                0.53279,                0.44294,                0.21455,                 1.5784,                 1.8519,                 1.7329,                 1.5102,                 2.3692,                 1.5947,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7083,                 1.9069,                  1.767,                 1.6826,                 2.3865,                 1.6642,                0.47557,                0.37705,                0.36401,                0.17159,                 1.7315,                 1.9669,                 1.9244,                 1.6592,                 2.4822,                 1.7206,               0.001703,               0.001703,               0.001703
                     18,                 1.5991,                  1.716,                 1.6939,                 1.5846,                 2.1742,                 1.6145,                0.49773,                0.53611,                0.50002,                0.25854,                 1.5363,                 1.5839,                 1.6864,                 1.5044,                 2.0402,                 1.6239,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.614,                 1.7535,                 1.7022,                 1.6263,                 2.1976,                 1.6222,                0.53823,                0.54458,                 0.5232,                0.23983,                 1.7145,                 1.6654,                 1.7939,                 1.7039,                 2.0492,                 1.7116,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6126,                 1.7755,                 1.6811,                 1.6214,                 2.1648,                 1.5943,                0.55501,                0.57377,                0.57285,                0.29111,                  1.554,                 1.6731,                 1.6778,                 1.5337,                 2.0177,                 1.5782,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.5614,                 1.6885,                 1.6442,                 1.6029,                 2.0711,                  1.579,                0.62699,                 0.5082,                0.57596,                0.30857,                 1.5835,                 1.6088,                 1.6413,                 1.5659,                 1.9137,                 1.5843,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5082,                 1.6058,                 1.6171,                 1.5265,                 1.9996,                 1.5457,                0.58718,                0.61475,                0.61525,                0.33622,                 1.6068,                  1.451,                 1.6708,                 1.5596,                 1.6754,                 1.6018,               0.001604,               0.001604,               0.001604
                     23,                 1.6186,                  1.729,                   1.69,                 1.6024,                 2.1236,                 1.6084,                0.54735,                 0.4918,                0.52359,                0.26756,                 1.6517,                 1.6586,                 1.8179,                 1.6068,                 1.9319,                 1.6422,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5404,                 1.6241,                 1.6665,                 1.5036,                 1.9862,                 1.5635,                0.54781,                0.56557,                0.56501,                0.30501,                 1.5105,                 1.5138,                 1.6849,                 1.4901,                 1.7429,                 1.5666,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5114,                 1.5332,                  1.591,                 1.5108,                 1.8503,                 1.5194,                0.63453,                0.53279,                0.57419,                0.32576,                 1.4873,                 1.4682,                 1.5732,                 1.3941,                 1.8487,                  1.485,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5289,                 1.5684,                 1.6207,                 1.5589,                   1.95,                 1.5498,                0.58887,                0.55182,                0.58012,                0.31834,                  1.544,                 1.6688,                 1.6718,                 1.5203,                  2.022,                 1.5775,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5091,                 1.5073,                 1.5816,                  1.489,                 1.8944,                 1.5164,                0.59312,                0.58551,                 0.6449,                 0.3337,                 1.6473,                 1.3728,                 1.7287,                 1.6704,                 1.6067,                 1.6395,               0.001505,               0.001505,               0.001505
                     28,                 1.4346,                 1.4341,                 1.5399,                  1.455,                 1.7462,                 1.4724,                0.62606,                0.58197,                0.61807,                0.35193,                 1.4971,                  1.365,                 1.6284,                  1.453,                 1.5799,                 1.5627,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4788,                 1.5386,                 1.5949,                 1.5021,                 1.8307,                 1.5419,                0.54237,                0.58197,                0.61268,                0.33194,                 1.5508,                 1.3994,                 1.6875,                 1.5333,                 1.6323,                 1.5963,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.466,                 1.4325,                 1.6013,                 1.5372,                 1.7546,                 1.5339,                0.65418,                0.54098,                0.59415,                0.33886,                 1.5676,                 1.4409,                 1.6785,                 1.5858,                 1.6958,                  1.552,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4492,                 1.4443,                 1.5721,                  1.436,                  1.732,                 1.4964,                0.68429,                0.53298,                0.62976,                0.33719,                 1.4986,                 1.4324,                 1.6253,                 1.5806,                 1.6216,                 1.6059,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4722,                   1.45,                 1.5682,                 1.4836,                 1.7391,                 1.5044,                0.64635,                0.53932,                0.62386,                0.33682,                 1.5072,                 1.3452,                 1.6124,                 1.5132,                 1.6283,                 1.5598,               0.001406,               0.001406,               0.001406
                     33,                 1.4494,                 1.4327,                  1.559,                 1.4896,                 1.7261,                 1.5431,                0.65289,                0.61475,                0.60382,                0.30327,                 1.5997,                 1.4751,                 1.7301,                 1.5766,                 1.6526,                 1.6402,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.5123,                 1.5344,                 1.6269,                 1.5206,                 1.8301,                 1.5598,                0.59046,                0.56726,                0.60513,                0.33237,                 1.4736,                 1.4106,                 1.6562,                  1.535,                 1.6306,                 1.6434,              0.0013664,              0.0013664,              0.0013664
